Timestamp,Analyte Type,Concentration of analyte,OD600,"Wavelength (485,528)"
16.66666666,0,0.05677314026,1.442,10331
16.75,0,0.05650587321,1.44,10449
16.83333333,0,0.05624111016,1.438,10377
16.91666666,0,0.05597881608,1.436,10361
17,0,0.05571895661,1.435,10303
17.08333333,0,0.05546149801,1.432,10322
17.16666666,0,0.05520640717,1.444,10362
17.25,0,0.05495365159,1.429,10417
17.33333333,0,0.05470319934,1.433,10346
17.41666666,0,0.05445501911,1.427,10347
17.5,0,0.05420908011,1.433,10478
17.58333333,0,0.05396535213,1.427,10427
17.66666666,0,0.05372380549,1.428,10459
17.75,0,0.05348441105,1.426,10421
17.83333333,0,0.05324714017,1.422,10492
17.91666666,0,0.05301196473,1.423,10380
18,0,0.0527788571,1.421,10455
18.08333333,0,0.05254779014,1.42,10553
18.16666666,0,0.05231873716,1.424,10496
18.25,0,0.05209167195,1.418,10541
18.33333333,0,0.05186656877,1.42,10535
18.41666666,0,0.05164340228,1.422,10680
18.5,0,0.05142214762,1.417,10482
18.58333333,0,0.05120278032,1.412,10475
18.66666666,0,0.05098527634,1.413,10387
18.75,0,0.05076961205,1.411,10435
18.83333333,0,0.0505557642,1.411,10487
18.91666666,0,0.05034370995,1.411,10476
19,0,0.05013342683,1.413,10536
19.08333333,0,0.04992489275,1.407,10570
19.16666666,0,0.04971808598,1.415,10539
19.25,0,0.04951298516,1.409,10590
19.33333333,0,0.04930956926,1.418,10570
19.41666666,0,0.04910781762,1.41,10652
19.5,0,0.04890770988,1.415,10682
19.58333333,0,0.04870922606,1.413,10584
19.66666666,0,0.04851234645,1.409,10597
19.75,0,0.04831705171,1.409,10617
19.83333333,0,0.04812332276,1.41,10631
19.91666666,0,0.04793114085,1.41,10659
20,0,0.04774048754,1.407,10677
20.08333333,0,0.04755134466,1.406,10616
20.16666666,0,0.04736369434,1.408,10509
20.25,0,0.04717751897,1.402,10779
20.33333333,0,0.04699280124,1.404,10585
20.41666666,0,0.04680952411,1.405,10709
20.5,0,0.04662767078,1.402,10693
20.58333333,0,0.04644722474,1.401,10727
20.66666666,0,0.04626816971,1.403,10699
20.75,0,0.04609048967,1.399,10773
20.83333333,0,0.04591416885,1.401,10686
20.91666666,0,0.04573919171,1.398,10549
21,0,0.04556554296,1.398,10620
21.08333333,0,0.04539320753,1.402,10784
21.16666666,0,0.04522217057,1.399,10774
21.25,0,0.04505241747,1.397,10897
21.33333333,0,0.04488393382,1.397,10781
21.41666666,0,0.04471670545,1.397,10789
21.49999999,0,0.04455071838,1.395,10812
21.58333333,0,0.04438595885,1.395,10676
21.66666666,0,0.04422241328,1.393,10702
21.74999999,0,0.04406006831,1.395,10861
21.83333333,0,0.04389891077,1.397,10829
21.91666666,0,0.04373892769,1.392,10806
21.99999999,0,0.04358010626,1.394,10929
22.08333333,0,0.0434224339,1.393,10791
22.16666666,0,0.04326589817,1.393,10982
22.24999999,0,0.04311048683,1.391,10873
22.33333332,0,0.04295618781,1.391,10896
22.41666666,0,0.04280298922,1.387,10729
22.49999999,0,0.04265087931,1.39,10846
22.58333332,0,0.04249984654,1.388,10801
22.66666666,0,0.0423498795,1.386,10819
22.74999999,0,0.04220096696,1.388,10893
22.83333332,0,0.04205309783,1.386,10747
22.91666666,0,0.04190626118,1.385,10952
22.99999999,0,0.04176044624,1.384,10834
23.08333332,0,0.04161564239,1.386,11051
23.16666665,0,0.04147183914,1.386,11072
23.24999999,0,0.04132902617,1.384,11045
23.33333332,0,0.04118719327,1.382,10988
0,1,1,0.094,4009
0.08333333,1,0.9257120813,0.095,3943
0.1666666633,1,0.8614660137,0.095,3970
0.2499999967,1,0.8053850103,0.095,3879
0.33333333,1,0.7560273469,0.095,3897
0.4166666633,1,0.7122682813,0.094,3968
0.4999999967,1,0.6732181888,0.094,3915
0.58333333,1,0.6381646574,0.095,3927
0.6666666633,1,0.6065307852,0.095,3914
0.7499999967,1,0.5778446537,0.095,3918
0.83333333,1,0.5517166502,0.095,3899
0.9166666633,1,0.5278223915,0.095,3879
0.9999999967,1,0.5058897077,0.096,3842
1.08333333,1,0.4856886058,0.096,3892
1.166666663,1,0.4670234524,0.097,3909
1.249999997,1,0.4497268238,0.097,3886
1.33333333,1,0.4336546252,0.098,3850
1.416666663,1,0.4186821852,0.099,3848
1.499999997,1,0.4047011061,0.099,3946
1.58333333,1,0.3916167045,0.1,3902
1.666666663,1,0.3793459195,0.101,3835
1.749999997,1,0.36781559,0.102,3898
1.83333333,1,0.3569610287,0.103,3847
1.916666663,1,0.3467248351,0.104,3886
1.999999997,1,0.3370559012,0.105,3845
2.08333333,1,0.327908576,0.106,3861
2.166666663,1,0.3192419583,0.108,3782
2.249999997,1,0.3110192974,0.109,3853
2.33333333,1,0.3032074809,0.111,3861
2.416666663,1,0.2957765972,0.112,3886
2.499999997,1,0.2886995591,0.114,3870
2.58333333,1,0.2819517791,0.116,3860
2.666666663,1,0.2755108882,0.117,3910
2.749999997,1,0.2693564924,0.119,3820
2.83333333,1,0.2634699597,0.12,3878
2.916666663,1,0.2578342346,0.121,3874
2.999999997,1,0.2524336751,0.122,3836
3.08333333,1,0.2472539097,0.124,3907
3.166666663,1,0.2422817111,0.126,3942
3.249999997,1,0.2375048853,0.129,3945
3.33333333,1,0.2329121723,0.133,3922
3.416666663,1,0.228493159,0.137,3990
3.499999997,1,0.2242382012,0.142,4001
3.58333333,1,0.2201383536,0.15,3951
3.666666663,1,0.2161853084,0.156,4008
3.749999997,1,0.2123713393,0.164,4060
3.83333333,1,0.2086892515,0.172,4107
3.916666663,1,0.205132337,0.181,4034
3.999999997,1,0.2016943344,0.192,4050
4.08333333,1,0.1983693918,0.203,4136
4.166666663,1,0.1951520348,0.218,4139
4.249999997,1,0.1920371357,0.232,4183
4.33333333,1,0.1890198872,0.25,4150
4.416666663,1,0.1860957774,0.27,4297
4.499999997,1,0.1832605677,0.292,4325
4.58333333,1,0.1805102724,0.319,4358
4.666666663,1,0.1778411403,0.344,4421
4.749999997,1,0.1752496372,0.372,4526
4.83333333,1,0.1727324311,0.398,4539
4.916666663,1,0.1702863776,0.423,4596
4.999999997,1,0.167908507,0.447,4682
5.08333333,1,0.1655960124,0.469,4715
5.166666663,1,0.1633462385,0.493,4814
5.249999997,1,0.1611566719,0.514,4778
5.33333333,1,0.1590249312,0.536,4971
5.416666663,1,0.1569487592,0.556,5032
5.499999997,1,0.1549260141,0.577,5112
5.58333333,1,0.1529546628,0.599,5238
5.666666663,1,0.151032774,0.621,5332
5.749999997,1,0.1491585118,0.642,5447
5.83333333,1,0.1473301298,0.66,5614
5.916666663,1,0.145545966,0.682,5779
5.999999997,1,0.1438044375,0.703,5809
6.08333333,1,0.1421040362,0.723,6040
6.166666663,1,0.1404433239,0.744,6116
6.249999997,1,0.1388209288,0.765,6292
6.33333333,1,0.1372355415,0.784,6452
6.416666663,1,0.1356859116,0.809,6565
6.499999997,1,0.1341708441,0.838,6697
6.58333333,1,0.1326891968,0.872,6923
6.666666663,1,0.1312398772,0.897,7017
6.749999997,1,0.1298218399,0.918,7133
6.83333333,1,0.128434084,0.93,7395
6.916666663,1,0.1270756507,0.94,7556
6.999999997,1,0.1257456213,0.954,7704
7.08333333,1,0.1244431152,0.969,7809
7.166666663,1,0.1231672875,0.98,8083
7.249999997,1,0.1219173277,0.992,8263
7.33333333,1,0.1206924578,1.006,8416
7.416666663,1,0.1194919305,1.025,8535
7.499999997,1,0.118315028,1.035,8841
7.58333333,1,0.1171610604,1.05,9001
7.666666663,1,0.1160293643,1.061,9207
7.749999997,1,0.1149193016,1.07,9366
7.83333333,1,0.1138302585,1.083,9528
7.916666663,1,0.112761644,1.093,9751
7.999999997,1,0.1117128892,1.103,9902
8.08333333,1,0.1106834459,1.112,10171
8.166666663,1,0.1096727862,1.123,10346
8.249999997,1,0.1086804009,1.133,10617
8.33333333,1,0.1077057992,1.141,10751
8.416666663,1,0.1067485077,1.151,10921
8.499999997,1,0.1058080696,1.159,11130
8.58333333,1,0.1048840441,1.17,11456
8.666666663,1,0.1039760056,1.178,11405
8.749999997,1,0.103083543,1.185,11686
8.83333333,1,0.1022062593,1.195,11883
8.916666663,1,0.1013437707,1.197,12052
8.999999997,1,0.1004957063,1.206,12244
9.08333333,1,0.09966170767,1.211,12565
9.166666663,1,0.09884142784,1.216,12774
9.249999997,1,0.09803453132,1.225,13080
9.33333333,1,0.09724069346,1.23,13185
9.416666663,1,0.09645959999,1.236,13342
9.499999997,1,0.09569094664,1.237,13438
9.58333333,1,0.09493443877,1.241,13653
9.666666663,1,0.09418979092,1.246,13770
9.749999997,1,0.09345672655,1.251,13879
9.83333333,1,0.09273497761,1.254,14167
9.916666663,1,0.09202428427,1.261,14365
9.999999997,1,0.09132439459,1.264,14582
10.08333333,1,0.09063506422,1.269,14902
10.16666666,1,0.08995605612,1.272,14955
10.25,1,0.08928714028,1.273,15076
10.33333333,1,0.08862809349,1.277,15401
10.41666666,1,0.08797869905,1.283,15401
10.5,1,0.08733874656,1.288,15775
10.58333333,1,0.0867080317,1.29,15864
10.66666666,1,0.08608635599,1.295,16056
10.75,1,0.08547352658,1.301,16083
10.83333333,1,0.0848693561,1.307,16450
10.91666666,1,0.0842736624,1.309,16608
11,1,0.08368626841,1.312,16852
11.08333333,1,0.08310700195,1.319,16968
11.16666666,1,0.08253569559,1.32,17043
11.25,1,0.08197218644,1.325,17621
11.33333333,1,0.08141631604,1.327,17520
11.41666666,1,0.08086793017,1.328,17688
11.5,1,0.08032687876,1.334,17746
11.58333333,1,0.0797930157,1.336,17837
11.66666666,1,0.07926619876,1.338,18032
11.75,1,0.0787462894,1.341,18389
11.83333333,1,0.07823315272,1.342,18514
11.91666666,1,0.07772665729,1.346,18641
12,1,0.07722667506,1.351,18697
12.08333333,1,0.07673308126,1.353,18988
12.16666666,1,0.07624575428,1.357,18996
12.25,1,0.07576457556,1.359,19549
12.33333333,1,0.07528942954,1.363,19447
12.41666666,1,0.0748202035,1.415,19651
12.5,1,0.07435678755,1.377,19602
12.58333333,1,0.07389907448,1.385,20003
12.66666666,1,0.0734469597,1.395,20014
12.75,1,0.07300034116,1.402,20160
12.83333333,1,0.07255911929,1.411,20194
12.91666666,1,0.07212319689,1.414,20345
13,1,0.07169247909,1.418,20531
13.08333333,1,0.07126687328,1.421,20528
13.16666666,1,0.070846289,1.423,20575
13.25,1,0.07043063795,1.423,20872
13.33333333,1,0.07001983386,1.427,20896
13.41666666,1,0.06961379248,1.431,21029
13.5,1,0.06921243148,1.432,20964
13.58333333,1,0.06881567044,1.433,21440
13.66666666,1,0.06842343074,1.435,21312
13.75,1,0.06803563558,1.439,21485
13.83333333,1,0.06765220985,1.44,21673
13.91666666,1,0.06727308014,1.442,21688
14,1,0.06689817469,1.444,21827
14.08333333,1,0.0665274233,1.445,22137
14.16666666,1,0.06616075734,1.447,22102
14.25,1,0.06579810967,1.449,22244
14.33333333,1,0.06543941461,1.45,22048
14.41666666,1,0.06508460791,1.451,22523
14.5,1,0.06473362671,1.454,22181
14.58333333,1,0.06438640949,1.456,22439
14.66666666,1,0.06404289604,1.457,22770
14.75,1,0.06370302744,1.458,22685
14.83333333,1,0.06336674598,1.459,22628
14.91666666,1,0.06303399521,1.462,22711
15,1,0.06270471981,1.462,22970
15.08333333,1,0.06237886565,1.466,23241
15.16666666,1,0.06205637968,1.465,23027
15.25,1,0.06173720998,1.468,23127
15.33333333,1,0.06142130566,1.469,23233
15.41666666,1,0.06110861688,1.469,23279
15.5,1,0.06079909481,1.468,23397
15.58333333,1,0.0604926916,1.47,23572
15.66666666,1,0.06018936035,1.472,23618
15.75,1,0.0598890551,1.471,23661
15.83333333,1,0.05959173083,1.474,23629
15.91666666,1,0.05929734336,1.474,23682
16,1,0.05900584942,1.475,24006
16.08333333,1,0.05871720655,1.472,23913
16.16666666,1,0.05843137316,1.478,24070
16.25,1,0.05814830842,1.477,24139
16.33333333,1,0.05786797232,1.476,24248
16.41666666,1,0.05759032559,1.482,24306
16.5,1,0.05731532974,1.482,24460
16.58333333,1,0.05704294698,1.484,24762
16.66666666,1,0.05677314026,1.484,24771
16.75,1,0.05650587321,1.484,24823
16.83333333,1,0.05624111016,1.485,24816
16.91666666,1,0.05597881608,1.486,24962
17,1,0.05571895661,1.487,25001
17.08333333,1,0.05546149801,1.487,25178
17.16666666,1,0.05520640717,1.493,25103
17.25,1,0.05495365159,1.494,25225
17.33333333,1,0.05470319934,1.493,25452
17.41666666,1,0.05445501911,1.494,25489
17.5,1,0.05420908011,1.498,25882
17.58333333,1,0.05396535213,1.496,25589
17.66666666,1,0.05372380549,1.502,25766
17.75,1,0.05348441105,1.5,25957
17.83333333,1,0.05324714017,1.505,26002
17.91666666,1,0.05301196473,1.504,26218
18,1,0.0527788571,1.506,26153
18.08333333,1,0.05254779014,1.508,26244
18.16666666,1,0.05231873716,1.507,26239
18.25,1,0.05209167195,1.51,26686
18.33333333,1,0.05186656877,1.511,26374
18.41666666,1,0.05164340228,1.513,26440
18.5,1,0.05142214762,1.515,26473
18.58333333,1,0.05120278032,1.516,26464
18.66666666,1,0.05098527634,1.519,26680
18.75,1,0.05076961205,1.519,26767
18.83333333,1,0.0505557642,1.522,26775
18.91666666,1,0.05034370995,1.522,26952
19,1,0.05013342683,1.526,27194
19.08333333,1,0.04992489275,1.522,27437
19.16666666,1,0.04971808598,1.532,27422
19.25,1,0.04951298516,1.53,27538
19.33333333,1,0.04930956926,1.535,27447
19.41666666,1,0.04910781762,1.534,27756
19.5,1,0.04890770988,1.537,27589
19.58333333,1,0.04870922606,1.537,27675
19.66666666,1,0.04851234645,1.536,27849
19.75,1,0.04831705171,1.536,28135
19.83333333,1,0.04812332276,1.542,27646
19.91666666,1,0.04793114085,1.544,28097
20,1,0.04774048754,1.545,27901
20.08333333,1,0.04755134466,1.548,28373
20.16666666,1,0.04736369434,1.549,28302
20.25,1,0.04717751897,1.554,28308
20.33333333,1,0.04699280124,1.56,28484
20.41666666,1,0.04680952411,1.559,28704
20.5,1,0.04662767078,1.559,28817
20.58333333,1,0.04644722474,1.562,28743
20.66666666,1,0.04626816971,1.568,28862
20.75,1,0.04609048967,1.564,28836
20.83333333,1,0.04591416885,1.571,28810
20.91666666,1,0.04573919171,1.568,29074
21,1,0.04556554296,1.573,29095
21.08333333,1,0.04539320753,1.575,29209
21.16666666,1,0.04522217057,1.577,29253
21.25,1,0.04505241747,1.579,29125
21.33333333,1,0.04488393382,1.585,29046
21.41666666,1,0.04471670545,1.591,29156
21.49999999,1,0.04455071838,1.593,29465
21.58333333,1,0.04438595885,1.593,29529
21.66666666,1,0.04422241328,1.594,29711
21.74999999,1,0.04406006831,1.6,29768
21.83333333,1,0.04389891077,1.602,29700
21.91666666,1,0.04373892769,1.603,29814
21.99999999,1,0.04358010626,1.605,29871
22.08333333,1,0.0434224339,1.61,29493
22.16666666,1,0.04326589817,1.609,29324
22.24999999,1,0.04311048683,1.608,29704
22.33333332,1,0.04295618781,1.603,29906
22.41666666,1,0.04280298922,1.602,30003
22.49999999,1,0.04265087931,1.595,29885
22.58333332,1,0.04249984654,1.594,29972
22.66666666,1,0.0423498795,1.59,29666
22.74999999,1,0.04220096696,1.585,30005
22.83333332,1,0.04205309783,1.578,30065
22.91666666,1,0.04190626118,1.573,30243
22.99999999,1,0.04176044624,1.577,30292
23.08333332,1,0.04161564239,1.58,30624
23.16666665,1,0.04147183914,1.573,30612
23.24999999,1,0.04132902617,1.583,30678
23.33333332,1,0.04118719327,1.602,30621
